thumbnail,thumbnail_url,thumbnail_alt_tag
"52c1eae6-5802-41f8-ae33-c82caf8e7511.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=52c1eae6-5802-41f8-ae33-c82caf8e7511.jpg","Structure of HR for HR "
"54cfd316-d005-46f0-bd87-289f841b88cd.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=54cfd316-d005-46f0-bd87-289f841b88cd.jpg","Megatrends That Are Affecting the HR Function webcast"
"5683f029-b547-4652-9352-348b6d137651.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=5683f029-b547-4652-9352-348b6d137651.jpg","blindfold"
"589ff85a-f60e-4d7c-8adf-62f4dcf51304.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=589ff85a-f60e-4d7c-8adf-62f4dcf51304.jpg",""
"59b867f1-8f27-4f0a-bde5-1c06d135e63f.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=59b867f1-8f27-4f0a-bde5-1c06d135e63f.jpg","fall leaves representing change"
"59eabe9c-bda3-4740-b402-6518ed8887ff.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=59eabe9c-bda3-4740-b402-6518ed8887ff.jpg","chess board"
"5a097edc-60b3-493a-b879-348c38d00cb1.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=5a097edc-60b3-493a-b879-348c38d00cb1.jpg","spiderman reading a book representing developing skills"
"5a91b021-157b-4787-ad2c-f8899f7efdb8.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=5a91b021-157b-4787-ad2c-f8899f7efdb8.jpg","image of toy made for user to think about next steps "
"5ae21777-8a8b-4e3f-b751-0f66f29e5d15.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=5ae21777-8a8b-4e3f-b751-0f66f29e5d15.jpg","Virtual Learning webcast"
"5bc7fe4e-5374-4ef9-bd5e-fd3950b06246.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=5bc7fe4e-5374-4ef9-bd5e-fd3950b06246.jpg","Agility and the Future of Work video clip"
"5c01d1a4-8930-469b-9aac-de569ce98433.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=5c01d1a4-8930-469b-9aac-de569ce98433.jpg","rubics cube"
"5cc62b3f-e727-4b9a-8933-0e8c72f1dc05.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=5cc62b3f-e727-4b9a-8933-0e8c72f1dc05.jpg","HR Role with Communication Tools"
"5d7cd70b-a3ff-4c96-9834-58ae3889e3c3.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=5d7cd70b-a3ff-4c96-9834-58ae3889e3c3.jpg","talent management"
